index,reportdate,api_wellno,fileno,company,wellname,quarter,section,township,range,county,fieldname,pool,oil,wtr,days,runs,gas,gassold,flared,lat,long,county_name,year,month,days_in_month,oil_per_day,gas_per_day,water_per_day,gassold_per_day,flared_per_day,gas_boe,gas_boe_per_day,total_boed
7816,2023-07,33025040840000,37841,LIME ROCK RESOURCES III-A LP,STATE B 3-25-36H-143-97,SESE,24.0,143.0,97.0,DUN,FAYETTE,BAKKEN,12776.0,22928.0,22.0,11949,8476.0,4694,3014.0,47.1840820488197,-102.906610442822,Dunn,2023,7,31,412.1290322580645,273.4193548387097,739.6129032258065,151.41935483870967,97.2258064516129,1412.6666666666667,45.56989247311828,457.6989247311828
7824,2023-07,33075014920000,39436,EAGLE OPERATING INC,V-M #5-7,SWNE,5.0,158.0,86.0,REN,FELDNER COULEE,MADISON,2298.0,338.0,13.0,2010,0.0,0,0.0,48.5415028856643,-101.808477227331,Renville,2023,7,31,74.12903225806451,0.0,10.903225806451612,0.0,0.0,0.0,0.0,74.12903225806451
8251,2023-07,33053098590000,38900,CHORD ENERGY,Snowshoe Federal 31-30-3H,NWNE,30.0,151.0,102.0,MCK,GLASS BLUFF,BAKKEN,17872.0,43062.0,29.0,18027,14743.0,12605,2138.0,47.8762198414224,-103.785511376668,McKenzie,2023,7,31,576.516129032258,475.5806451612903,1389.0967741935483,406.61290322580646,68.96774193548387,2457.1666666666665,79.26344086021506,655.7795698924731
8252,2023-07,33053098580000,38899,CHORD ENERGY,Snowshoe Federal 31-30-4H,NWNE,30.0,151.0,102.0,MCK,GLASS BLUFF,BAKKEN,22512.0,39775.0,30.0,22500,19496.0,19443,53.0,47.8761567809844,-103.785591776856,McKenzie,2023,7,31,726.1935483870968,628.9032258064516,1283.0645161290322,627.1935483870968,1.7096774193548387,3249.3333333333335,104.81720430107526,831.010752688172
9342,2023-07,33025046280000,39539,DEVON ENERGY,Two Shields Butte 16-8-7-13HA,SESE,8.0,149.0,92.0,DUN,HEART BUTTE,BAKKEN,18620.0,27054.0,28.0,18324,13649.0,13649,0.0,47.7337518699042,-102.472284052822,Dunn,2023,7,31,600.6451612903226,440.2903225806452,872.7096774193549,440.2903225806452,0.0,2274.8333333333335,73.38172043010753,674.0268817204301
9695,2023-07,33025045440000,39241,CONTINENTAL RESOURCES INC,Meadowlark 4-6HSL,SESW,31.0,146.0,95.0,DUN,JIM CREEK,BAKKEN,0.0,0.0,0.0,0,0.0,0,0.0,47.4164472961841,-102.836150386432,Dunn,2023,7,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9696,2023-07,33025045570000,39305,CONTINENTAL RESOURCES INC,Meadowlark FIU 10-6H,SESE,31.0,146.0,95.0,DUN,JIM CREEK,BAKKEN,0.0,0.0,0.0,0,0.0,0,0.0,47.4163332512354,-102.826037551954,Dunn,2023,7,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9697,2023-07,33025045450000,39242,CONTINENTAL RESOURCES INC,Meadowlark FIU 5-6H1,SESW,31.0,146.0,95.0,DUN,JIM CREEK,BAKKEN,0.0,2007.0,2.0,0,0.0,0,0.0,47.4164474639572,-102.835968419651,Dunn,2023,7,31,0.0,0.0,64.74193548387096,0.0,0.0,0.0,0.0,0.0
9698,2023-07,33025045460000,39243,CONTINENTAL RESOURCES INC,Meadowlark FIU 6-6H1,SESW,31.0,146.0,95.0,DUN,JIM CREEK,BAKKEN,178.0,3311.0,4.0,178,0.0,0,0.0,47.4164476317304,-102.83578645287,Dunn,2023,7,31,5.741935483870968,0.0,106.80645161290323,0.0,0.0,0.0,0.0,5.741935483870968
9699,2023-07,33025045470000,39244,CONTINENTAL RESOURCES INC,Meadowlark FIU 7-6H,SESW,31.0,146.0,95.0,DUN,JIM CREEK,BAKKEN,201.0,1662.0,3.0,201,0.0,0,0.0,47.4164477995035,-102.835604486089,Dunn,2023,7,31,6.483870967741935,0.0,53.61290322580645,0.0,0.0,0.0,0.0,6.483870967741935
